code,name,market,secid,updated_at
688348,昱能科技,1,1.688348,2026-01-20 20:43:31
688347,华虹公司,1,1.688347,2026-01-20 20:43:31
688345,博力威,1,1.688345,2026-01-20 20:43:31
688343,云天励飞-U,1,1.688343,2026-01-20 20:43:31
688339,亿华通-U,1,1.688339,2026-01-20 20:43:31
688338,赛科希德,1,1.688338,2026-01-20 20:43:31
688337,普源精电,1,1.688337,2026-01-20 20:43:31
688336,三生国健,1,1.688336,2026-01-20 20:43:31
688335,复洁科技,1,1.688335,2026-01-20 20:43:31
688334,西高院,1,1.688334,2026-01-20 20:43:31
688333,铂力特,1,1.688333,2026-01-20 20:43:31
688332,中科蓝讯,1,1.688332,2026-01-20 20:43:31
688331,荣昌生物,1,1.688331,2026-01-20 20:43:31
688330,宏力达,1,1.688330,2026-01-20 20:43:31
688329,艾隆科技,1,1.688329,2026-01-20 20:43:31
688328,深科达,1,1.688328,2026-01-20 20:43:31
688327,云从科技-UW,1,1.688327,2026-01-20 20:43:31
688326,经纬恒润-W,1,1.688326,2026-01-20 20:43:31
688325,赛微微电,1,1.688325,2026-01-20 20:43:31
688323,瑞华泰,1,1.688323,2026-01-20 20:43:31
688322,奥比中光-UW,1,1.688322,2026-01-20 20:43:31
688321,微芯生物,1,1.688321,2026-01-20 20:43:31
688320,禾川科技,1,1.688320,2026-01-20 20:43:31
688319,欧林生物,1,1.688319,2026-01-20 20:43:31
688318,财富趋势,1,1.688318,2026-01-20 20:43:31
688317,之江生物,1,1.688317,2026-01-20 20:43:31
688316,青云科技-U,1,1.688316,2026-01-20 20:43:31
688315,诺禾致源,1,1.688315,2026-01-20 20:43:31
688314,康拓医疗,1,1.688314,2026-01-20 20:43:31
688313,仕佳光子,1,1.688313,2026-01-20 20:43:31
688312,燕麦科技,1,1.688312,2026-01-20 20:43:31
688311,盟升电子,1,1.688311,2026-01-20 20:43:31
688310,迈得医疗,1,1.688310,2026-01-20 20:43:31
688309,恒誉环保,1,1.688309,2026-01-20 20:43:31
688308,欧科亿,1,1.688308,2026-01-20 20:43:31
688307,中润光学,1,1.688307,2026-01-20 20:43:31
688306,均普智能,1,1.688306,2026-01-20 20:43:31
688305,科德数控,1,1.688305,2026-01-20 20:43:31
